ID,item_cnt_month
0,1.6088691
1,1.5838654
2,1.6567918
3,1.6567918
4,1.5788388
5,1.5770146
6,1.5770146
7,1.169838
8,1.5838654
9,0.9037352
10,3.5924933
11,4.0331326
12,0.7610388
13,3.1809504
14,3.0343812
15,2.5092483
16,2.1574826
17,1.2186692
18,3.804594
19,0.9037352
20,3.461403
21,0.9037352
22,3.7087893
23,1.3767699
24,1.0909549
25,1.2037444
26,1.2037444
27,1.3868442
28,1.4306581
29,1.8036308
30,1.684856
31,1.684856
32,1.684856
33,1.833797
34,1.3868442
35,1.2863445
36,1.8036308
37,1.833797
38,1.0909549
39,1.0909549
40,1.4915043
41,2.8550315
42,3.4487917
43,5.851216
44,3.7087893
45,3.3836894
46,3.3836894
47,3.013839
48,3.013839
49,1.9229543
50,1.9229543
51,1.4915043
52,0.9582497
53,2.3054817
54,20.0
55,4.3024817
56,6.688352
57,6.688352
58,8.7398815
59,8.7398815
60,8.7398815
61,4.232814
62,3.700033
63,1.3978304
64,1.3978304
65,1.2729369
66,1.4708294
67,1.4708294
68,1.7414948
69,1.8213052
70,1.2729369
71,5.8345056
72,2.6816413
73,3.6756828
74,3.28838
75,3.28838
76,0.9639139
77,3.28838
78,3.4738681
79,4.308098
80,4.308098
81,4.308098
82,4.308098
83,1.850411
84,1.5595678
85,1.5415193
86,1.5415193
87,1.3064809
88,1.6894044
89,1.183486
90,1.1239681
91,1.1239681
92,1.510458
93,1.510458
94,1.4541196
95,1.0189528
96,1.1239681
97,1.4288764
98,1.4427636
99,7.1999264
100,7.3197513
101,0.20603615
102,0.9618931
103,0.9618931
104,0.9618931
105,0.75978684
106,0.8732766
107,2.7130346
108,0.7560063
109,0.7010715
110,0.88092625
111,0.88092625
112,0.88092625
113,0.88092625
114,1.1135998
115,1.0306381
116,0.7904427
117,0.9639139
118,5.7554445
119,1.2154638
120,1.4728513
121,1.4728513
122,1.4728513
123,1.4728513
124,1.4728513
125,1.2154638
126,1.4728513
127,5.9461374
128,5.9461374
129,6.032036
130,1.1611899
131,1.1611899
132,7.040319
133,7.040319
134,1.2154638
135,1.7512467
136,1.7512467
137,1.9492474
138,1.9492474
139,1.9492474
140,1.9492474
141,1.9492474
142,1.9492474
143,1.9492474
144,0.0337573
145,0.0337573
146,0.0337573
147,5.9461374
148,5.9461374
149,5.527388
150,5.9461374
151,1.9492474
152,7.040319
153,1.1770846
154,1.1770846
155,1.2225765
156,1.2225765
157,1.2225765
158,1.2225765
159,1.2225765
160,1.2225765
161,1.1770846
162,1.2225765
163,1.1416233
164,1.6599556
165,1.0389795
166,1.6599556
167,1.0389795
168,1.0389795
169,1.0389795
170,1.1770846
171,2.0036964
172,1.044075
173,6.892586
174,9.252055
175,9.252055
176,2.6245093
177,1.1129999
178,1.1275775
179,1.1275775
180,1.1275775
181,1.1614802
182,1.1614802
183,1.1614802
184,1.0873027
185,1.0873027
186,1.044075
187,0.7904427
188,0.7904427
189,0.7904427
190,3.919301
191,3.919301
192,0.8366328
193,0.9858012
194,0.9858012
195,0.9858012
196,1.7268426
197,4.4006195
198,1.209651
199,1.209651
200,1.209651
201,1.209651
202,1.3172615
203,1.4521929
204,1.2128401
205,0.96351004
206,0.96351004
207,1.0183773
208,1.0710311
209,1.062015
210,1.062015
211,0.8572962
212,0.8572962
213,0.8366328
214,0.93065345
215,2.0798593
216,1.8704731
217,2.1048746
218,3.1557531
219,1.1785548
220,1.0306381
221,1.1266785
222,1.3895259
223,1.3895259
224,1.3895259
225,1.3012104
226,1.2137717
227,1.2137717
228,1.2137717
229,0.7491447
230,3.5211751
231,1.40328
232,1.1892804
233,1.2834829
234,1.2280552
235,1.2280552
236,1.2280552
237,0.7904427
238,0.7904427
239,3.5211751
240,0.7346725
241,1.0138247
242,0.7501678
243,1.1314976
244,0.8366328
245,0.8366328
246,1.1357633
247,1.1357633
248,1.2503142
249,1.2503142
250,1.3783485
251,1.3783485
252,1.3648546
253,2.8104537
254,1.1402698
255,1.0440781
256,0.95228255
257,1.0029545
258,1.010267
259,1.0029545
260,1.0029545
261,1.0029545
262,1.0029545
263,0.9671049
264,1.0029545
265,2.0131311
266,1.0750374
267,1.1377786
268,0.9701047
269,1.0796509
270,2.1005697
271,1.0058409
272,0.97728837
273,0.97728837
274,14.465248
275,0.9701047
276,1.1377786
277,1.1377786
278,1.0029545
279,1.0029545
280,1.0029545
281,1.0029545
282,1.0029545
283,1.0029545
284,1.0171437
285,1.0171437
286,1.0171437
287,1.1377786
288,1.1232951
289,0.97769964
290,0.97769964
291,0.97769964
292,1.0012074
293,1.0012074
294,0.98710346
295,1.386673
296,1.1377786
297,1.1232951
298,0.90358317
299,0.90358317
300,0.966954
301,1.416661
302,1.416661
303,1.322992
304,1.322992
305,1.1550474
306,0.95228255
307,0.95228255
308,0.88325274
309,0.95228255
310,0.95228255
311,0.95228255
312,0.9851247
313,1.0304226
314,1.1124642
315,1.1118817
316,1.1118817
317,1.1118817
318,0.81140447
319,0.81140447
320,0.81140447
321,0.81140447
322,1.0624933
323,1.0624933
324,1.0624933
325,1.228083
326,0.9305092
327,1.0029545
328,1.0029545
329,1.0029545
330,1.0029545
331,1.2531152
332,1.0314779
333,1.0314779
334,1.0314779
335,1.0314779
336,1.2531152
337,1.2531152
338,1.2531152
339,1.2531152
340,1.0314779
341,1.2531152
342,1.2531152
343,1.2153022
344,1.2153022
345,1.1197861
346,1.3582945
347,1.3582945
348,1.147208
349,1.1409723
350,1.2531152
351,1.2531152
352,1.4872242
353,1.2531152
354,1.5242472
355,1.2531152
356,1.2531152
357,1.2531152
358,1.0389795
359,1.2531152
360,1.2531152
361,1.2531152
362,1.2531152
363,1.6033301
364,0.97233903
365,1.1409723
366,1.075069
367,1.075069
368,1.5196048
369,2.254696
370,2.254696
371,2.328701
372,2.328701
373,1.4197073
374,1.4197073
375,1.4197073
376,1.4197073
377,1.0936801
378,1.0936801
379,1.1367822
