ID,item_cnt_month
0,1.0401168
1,1.0401168
2,1.0401168
3,1.0401168
4,1.0401168
5,1.0401168
6,1.0401168
7,1.0401168
8,1.0401168
9,1.0237811
10,1.1912498
11,1.1961269
12,0.9882338
13,1.1316302
14,1.1316302
15,1.0237811
16,1.0237811
17,0.9882338
18,1.0237811
19,1.0237811
20,1.0016011
21,1.0237811
22,1.0971241
23,1.031359
24,0.9936948
25,0.9936948
26,0.9936948
27,1.0062557
28,1.0062557
29,1.0515447
30,1.0515447
31,1.0515447
32,1.0515447
33,1.0515447
34,1.0062557
35,1.031359
36,1.0515447
37,1.0515447
38,0.9934271
39,0.9934271
40,0.9934271
41,1.075829
42,1.075829
43,1.1458721
44,1.3692749
45,1.3692749
46,1.3692749
47,1.2280695
48,1.2280695
49,1.0944232
50,1.0469298
51,0.9934271
52,1.0062557
53,1.2280695
54,1.0862691
55,1.1912498
56,1.5355588
57,1.5355588
58,1.7905015
59,1.7905015
60,1.7905015
61,1.2600226
62,1.2600226
63,1.1021075
64,1.0739553
65,1.0543847
66,1.0543847
67,1.0543847
68,1.0543847
69,1.0488961
70,1.0543847
71,1.7905015
72,1.5235106
73,1.5722845
74,1.2600226
75,1.2600226
76,0.9936948
77,1.2600226
78,1.2600226
79,1.2923479
80,1.2923479
81,1.4196258
82,1.4196258
83,1.1347871
84,0.9976088
85,0.9976088
86,0.9976088
87,0.98073846
88,0.99295986
89,0.99295986
90,0.99295986
91,0.99295986
92,0.99295986
93,0.99295986
94,0.99295986
95,0.99295986
96,0.99295986
97,0.9976088
98,1.0208391
99,2.3644805
100,4.6754036
101,0.9373679
102,0.9702723
103,0.9702723
104,0.9702723
105,0.9702723
106,0.9702723
107,1.0388572
108,0.9771224
109,0.9771224
110,0.98073846
111,0.98073846
112,0.98073846
113,0.98073846
114,1.0150054
115,1.0003203
116,0.9986136
117,0.9936948
118,1.2423317
119,0.8398361
120,0.88798094
121,0.8591496
122,0.8591496
123,0.8591496
124,0.8398361
125,0.8398361
126,0.88798094
127,1.0026882
128,1.0026882
129,1.1627102
130,0.8398361
131,0.8398361
132,1.1551939
133,1.1551939
134,0.8398361
135,0.9986136
136,0.9986136
137,0.9986136
138,0.9986136
139,0.9986136
140,0.9986136
141,0.9986136
142,0.9986136
143,0.9986136
144,1.0186
145,1.0186
146,1.0186
147,1.0026882
148,1.0026882
149,1.2996726
150,1.0026882
151,0.9986136
152,1.1551939
153,0.92251503
154,0.92251503
155,0.92251503
156,0.92251503
157,0.92251503
158,0.92251503
159,0.92251503
160,0.92251503
161,0.92251503
162,0.92251503
163,0.91567373
164,0.92251503
165,0.91567373
166,0.92251503
167,0.91567373
168,0.91567373
169,0.91567373
170,0.92251503
171,0.96397823
172,0.8378078
173,1.1551939
174,1.1489625
175,1.1604204
176,0.95884526
177,0.8398361
178,0.8398361
179,0.8398361
180,0.8398361
181,0.8398361
182,0.8398361
183,0.8398361
184,0.8378078
185,0.8378078
186,0.8378078
187,0.9986136
188,0.9986136
189,0.9986136
190,1.1479567
191,1.1479567
192,1.0003203
193,1.1547594
194,1.1547594
195,1.1547594
196,1.1134245
197,1.2397135
198,1.1134245
199,1.1134245
200,1.1134245
201,1.1134245
202,1.0003203
203,1.0003203
204,1.0003203
205,1.0003203
206,1.0003203
207,1.0003203
208,1.0003203
209,1.0090132
210,1.0090132
211,1.0003203
212,1.0003203
213,1.0003203
214,1.0090132
215,1.034175
216,1.034175
217,1.034175
218,1.0569772
219,1.1134245
220,1.0003203
221,1.1134245
222,1.0971855
223,1.0971855
224,1.0971855
225,1.0971855
226,1.1254478
227,1.1254478
228,1.1254478
229,1.0455865
230,1.2033131
231,1.0230529
232,1.0230529
233,1.0230529
234,1.0230529
235,1.0230529
236,1.0230529
237,0.9986136
238,0.9986136
239,1.2033131
240,1.0455865
241,1.0542033
242,1.0496559
243,1.1134245
244,1.0003203
245,1.0003203
246,1.1134245
247,1.1134245
248,1.1134245
249,1.1134245
250,1.1134245
251,1.1134245
252,1.2102997
253,1.1011438
254,1.0496559
255,1.0496559
256,0.98831767
257,1.0467824
258,1.0056442
259,1.0467824
260,1.0467824
261,1.0467824
262,1.0467824
263,1.0056442
264,1.0467824
265,1.0056442
266,1.0056442
267,1.0467824
268,1.0056442
269,1.0056442
270,0.9950704
271,1.0096292
272,1.0096292
273,1.0096292
274,1.2232885
275,1.0056442
276,1.0467824
277,1.0467824
278,1.0467824
279,1.0467824
280,1.0467824
281,1.0467824
282,1.0467824
283,1.0467824
284,1.0467824
285,1.0467824
286,1.0467824
287,1.0467824
288,1.0467824
289,1.0467824
290,1.0467824
291,1.0467824
292,1.0467824
293,1.0467824
294,1.0467824
295,1.0467824
296,1.0467824
297,1.0467824
298,0.9964845
299,0.9964845
300,0.9964845
301,1.1428636
302,1.469637
303,1.7365248
304,1.7365248
305,1.0032458
306,0.98831767
307,0.98831767
308,0.9964845
309,0.98831767
310,0.98831767
311,0.98831767
312,1.0012425
313,0.9964845
314,1.0032458
315,0.98506856
316,0.98506856
317,0.9813243
318,0.99187136
319,0.99187136
320,0.99187136
321,0.99187136
322,0.9939786
323,0.9939786
324,0.9939786
325,0.9939786
326,0.9939786
327,1.0467824
328,1.0467824
329,1.0467824
330,1.0495083
331,1.0115895
332,0.9759838
333,0.9759838
334,0.9759838
335,0.9759838
336,1.0115895
337,1.0115895
338,1.0115895
339,1.0115895
340,0.9759838
341,1.0115895
342,1.0115895
343,1.0028037
344,0.9947398
345,0.9947398
346,0.9947398
347,0.9947398
348,0.9947398
349,0.99497944
350,1.0115895
351,1.0115895
352,1.0115895
353,1.0115895
354,1.015501
355,1.0115895
356,1.0115895
357,1.0115895
358,0.91567373
359,1.0115895
360,1.0115895
361,1.0115895
362,1.0115895
363,1.1084983
364,1.0012425
365,0.99497944
366,1.0015482
367,1.0015482
368,1.063412
369,1.182029
370,1.182029
371,1.182029
372,1.182029
373,1.0495083
374,1.0495083
375,1.0495083
376,1.0495083
377,1.0495083
378,1.0495083
379,1.0495083
380,1.1084983
381,0.99497944
382,0.99497944
383,0.99497944
384,0.99497944
385,0.99497944
386,0.99497944
387,0.99497944
388,0.99497944
389,0.99497944
390,1.1084983
391,1.1084983
392,1.1084983
393,1.1084983
394,1.1084983
395,1.0018318
396,1.1486136
397,1.2933391
398,1.2933391
399,1.2144169
400,1.1486136
401,1.1486136
402,1.2144169
403,1.2144169
404,1.2144169
405,1.1783476
406,1.1932788
407,1.1932788
408,1.1783476
409,1.2144169
410,1.3649387
411,1.2933391
412,1.2933391
413,1.2933391
414,1.2174469
415,1.2174469
416,1.2144169
417,1.2144169
418,1.2144169
419,1.1783476
420,1.1783476
421,1.1783476
422,1.1717771
423,1.1717771
424,1.1717771
425,1.1717771
426,1.184908
427,1.1783476
428,1.184908
429,1.184908
430,1.184908
431,1.1717771
432,1.184908
433,1.184908
434,1.184908
435,1.184908
436,1.184908
437,1.1717771
438,1.1783476
439,1.1783476
440,1.2134762
441,1.318629
442,1.318629
443,1.1858522
444,1.1717771
445,1.1717771
446,1.1717771
447,1.1717771
448,1.1717771
449,1.1717771
450,1.1717771
451,1.1717771
452,1.1717771
453,1.1717771
454,1.1717771
455,1.1717771
456,1.1717771
457,1.3649387
458,1.1486136
459,1.1486136
460,2.2658486
461,1.0432693
462,1.037859
463,1.022302
464,1.0180869
465,0.95607716
466,0.95607716
467,0.95607716
468,0.9838375
469,0.9907688
470,0.98290634
471,0.9777927
472,0.9883747
473,0.9883747
474,0.96842587
475,0.96842587
476,0.9578283
477,1.050025
478,0.9696495
479,0.9883747
480,1.0018318
481,1.0018318
482,0.9975772
483,0.9975772
484,0.9975772
485,0.9975772
486,0.9975772
487,0.9975772
488,0.9975772
489,0.9975772
490,0.9922018
491,0.9922018
492,0.9922018
493,0.9696495
494,1.0012425
495,0.99211454
496,0.99211454
497,1.3649387
498,1.3649387
499,1.3649387
500,1.3649387
501,1.4938928
502,1.4938928
503,1.3649387
504,1.4366887
505,1.4366887
506,1.1486136
507,1.3649387
508,1.3649387
509,1.3917193
510,0.99211454
511,0.99211454
512,0.98118055
513,0.98118055
514,1.1669627
515,1.1669627
516,0.98118055
517,1.043855
518,1.043855
519,1.0486909
520,1.0486909
521,1.538309
522,1.4938928
